1662105,26.37%,73.63%,17.35%,0.30%,63.97%,0.01%,15.50%,0.37%,2.49%
458455,61.67%,38.33%,85.84%,0.12%,6.52%,0.06%,0.13%,3.78%,3.55%
548157,35.31%,64.69%,46.08%,3.96%,16.68%,0.12%,1.97%,13.20%,17.99%
2289625,39.39%,60.61%,15.24%,0.25%,79.76%,0.00%,0.41%,3.57%,0.76%
1843940,36.10%,63.90%,44.10%,1.73%,12.59%,7.97%,4.05%,8.45%,21.11%
740367,42.16%,57.84%,25.46%,0.05%,35.91%,2.34%,33.81%,1.08%,1.35%
14688132,58.05%,41.95%,60.21%,2.08%,25.00%,0.01%,0.00%,3.78%,8.92%
168264124,51.66%,48.34%,12.66%,0.17%,84.86%,0.06%,0.01%,1.20%,1.04%
4230752,29.02%,70.98%,28.18%,0.70%,41.10%,0.02%,0.00%,2.39%,27.61%
891743,41.48%,58.52%,32.43%,2.33%,46.12%,2.49%,11.05%,3.54%,2.04%
12891725,34.89%,65.11%,41.65%,0.98%,49.39%,0.40%,0.00%,1.52%,6.05%
575121,32.31%,67.69%,57.51%,1.33%,25.76%,0.04%,8.59%,2.89%,3.88%
2931378,38.96%,61.04%,35.34%,1.41%,52.44%,1.17%,5.13%,2.58%,1.94%
381937439,38.04%,61.96%,16.23%,0.46%,70.65%,0.08%,0.01%,2.60%,9.97%
417013461,34.18%,65.82%,47.09%,1.30%,25.28%,0.29%,0.00%,3.91%,22.13%
4718996,95.48%,4.52%,62.34%,4.23%,10.40%,0.02%,0.01%,22.46%,0.54%
9407699,26.89%,73.11%,55.61%,3.91%,34.44%,1.84%,0.46%,2.43%,1.30%
5517801,47.25%,52.75%,15.20%,0.02%,69.07%,0.00%,0.00%,0.68%,15.04%
7863351,32.96%,67.04%,26.02%,1.04%,37.99%,15.94%,12.41%,4.07%,2.54%
2728231,64.03%,35.97%,24.65%,0.45%,62.38%,0.09%,1.14%,4.06%,7.23%
71517959,77.12%,22.88%,50.02%,1.62%,32.95%,4.35%,4.11%,3.46%,3.48%
4594032,16.14%,83.86%,20.70%,0.20%,24.35%,0.06%,0.00%,11.43%,43.25%
2025885,14.56%,85.44%,45.27%,4.56%,29.82%,2.04%,15.50%,1.31%,1.50%
6181707,16.55%,83.45%,9.52%,0.11%,75.90%,0.02%,0.00%,0.65%,13.80%
2510338,41.69%,58.31%,36.73%,0.33%,45.85%,0.08%,0.69%,1.20%,15.12%
3907045,12.90%,87.10%,39.48%,2.36%,54.50%,0.56%,0.08%,1.50%,1.51%
3166761,23.34%,76.66%,33.32%,4.56%,42.27%,5.84%,11.60%,1.54%,0.86%
952043,43.30%,56.70%,39.72%,1.13%,36.93%,1.08%,8.25%,3.65%,9.23%
81355080,35.84%,64.16%,28.59%,1.74%,56.48%,0.34%,2.66%,3.25%,6.94%
24117735,33.02%,66.98%,49.81%,0.43%,41.61%,0.76%,3.74%,3.08%,0.58%
27223689,38.14%,61.86%,22.06%,0.36%,75.57%,0.03%,0.00%,0.37%,1.61%
4902608,61.98%,38.02%,47.07%,2.40%,39.11%,0.10%,0.00%,4.25%,7.07%
1839163,16.19%,83.81%,22.09%,0.25%,59.36%,8.43%,5.03%,2.73%,2.11%
1497001,28.51%,71.49%,37.80%,1.72%,52.16%,0.16%,0.17%,5.27%,2.72%
669166,51.93%,48.07%,51.53%,5.30%,11.93%,0.00%,0.00%,26.22%,5.01%
124574402,53.59%,46.41%,71.90%,7.54%,16.89%,0.28%,0.01%,1.21%,2.17%
20269441,89.71%,10.29%,46.39%,2.03%,40.49%,0.61%,3.46%,2.46%,4.57%
76037117,51.90%,48.10%,69.23%,1.00%,26.12%,0.02%,0.00%,1.37%,2.27%
29228200,34.77%,65.23%,32.80%,0.83%,56.52%,0.01%,0.00%,4.63%,5.21%
3387798,36.49%,63.51%,36.95%,0.52%,9.64%,0.06%,0.00%,4.32%,48.52%
30833828,21.16%,78.84%,58.55%,2.07%,26.06%,1.00%,4.98%,1.93%,5.41%
1975908,57.44%,42.56%,51.90%,1.30%,35.81%,0.01%,5.92%,1.08%,3.97%
1332121,38.81%,61.19%,32.03%,0.57%,58.96%,0.00%,0.00%,3.07%,5.37%
10677185,64.80%,35.20%,68.75%,3.96%,11.07%,0.17%,1.17%,11.30%,3.57%
3724490,52.26%,47.74%,55.49%,0.24%,39.08%,0.03%,1.35%,1.91%,1.89%
1534205,30.11%,69.89%,8.76%,0.14%,39.28%,0.33%,0.00%,1.17%,50.31%
17807610,42.95%,57.05%,44.97%,0.23%,17.52%,0.09%,0.00%,22.02%,15.17%
3031332,30.50%,69.50%,20.48%,0.44%,41.38%,0.03%,0.02%,2.29%,35.37%
2744027,70.22%,29.78%,25.23%,0.37%,64.46%,0.03%,0.02%,2.51%,7.37%
1553757,41.20%,58.80%,22.64%,2.27%,68.92%,0.44%,2.38%,1.57%,1.78%
3515668,13.97%,86.03%,25.69%,1.38%,16.08%,18.20%,20.53%,3.54%,14.59%
3468928,58.99%,41.01%,35.77%,1.04%,50.66%,0.02%,0.01%,1.21%,11.30%
