"5 Brightmore Street Cremorne, NSW, 2090",LOT 1 DP966809,Residential,413,3,1,1,1920,"13 Oct 2020:$0、11 May 2012:$1,620,000、15 Oct 2005:$1,180,000、24 Jul 2001:$420,000、18 Feb 1999:$641,000、27 Jun 1990:$410,000、"
"53 Park Avenue Cremorne, NSW, 2090",LOT 2 DP82405,Residential,580,0,0,0,0,"14 Oct 2020:$0、12 May 1993:$344,000、8 Apr 1993:$344,000、"
"1 Guthrie Avenue Cremorne, NSW, 2090",LOT B DP159953,Residential,512,4,2,2,1910,"7 Oct 2020:$0、15 May 2010:$2,000,000、"
"29 Boyle Street Cremorne, NSW, 2090",LOT A DP309162,Residential,329,3,1,1,1920,"1 Oct 2020:$2,640,000、29 Jun 2010:$1,325,000、17 Dec 1991:$290,000、"
"51 Young Lane Cremorne, NSW, 2090",LOT 2 DP1217342,[],255,4,3,2,2017,"25 Sep 2020:$3,451,000、"
"14 Ryries Parade Cremorne, NSW, 2090",LOT 67 DP10291,Environmental Living,506,3,1,1,1920,"19 Sep 2020:$0、2 Dec 2015:$2,480,000、30 Nov 1992:$0、26 Oct 1983:$9,999,999、"
"5 Prospect Avenue Cremorne, NSW, 2090",LOT 1 DP954857,Residential,675,4,3,2,1950,"3 Sep 2020:$3,460,000、19 Dec 2009:$2,205,000、8 Dec 1998:$665,000、"
"10 Davidson Parade Cremorne, NSW, 2090",LOT 11 DP12587,Residential,443,4,2,2,1925,"19 Aug 2020:$3,350,000、3 Feb 2006:$1,700,000、10 Feb 1993:$500,000、19 Feb 1988:$285,000、"
"30 Grasmere Road Cremorne, NSW, 2090",LOT 10 DP1211406,Residential,622,4,3,2,1970,"8 Aug 2020:$3,500,000、10 Apr 2015:$8,800、30 Apr 2004:$1,350,000、"
"55 Sutherland Street Cremorne, NSW, 2090",LOT 1 DP999219,Medium Density Residential,291,2,1,2,1920,"21 Aug 2020:$0、20 Jul 2013:$1,210,000、"
"62 Ellalong Road Cremorne, NSW, 2090",LOT B DP366431,Low Density Residential,466,3,2,1,1930,"5 Aug 2020:$0、26 Oct 2013:$1,910,000、30 May 1998:$882,000、3 May 1996:$545,000、"
"3 Wonga Road Cremorne, NSW, 2090",LOT 38 DP31762,Residential,620,4,2,2,1975,"30 Jul 2020:$0、26 Feb 2005:$1,818,500、"
"16 Ellalong Road Cremorne, NSW, 2090",LOT 30 DP19883,Residential,632,6,2,1,1950,"12 Aug 2020:$2,837,500、"
"12 Shellbank Parade Cremorne, NSW, 2090",LOT 1 DP1211154,Residential,854,5,4,2,2006,"10 Jul 2020:$13,000,000、27 Apr 2007:$9,550,000、29 Dec 2006:$9,200,000、12 May 2003:$4,650,000、18 Jul 2002:$4,700,000、"
"6 Montague Road Cremorne, NSW, 2090",LOTS 1-2 DP1040276,Residential,576,3,1,1,1910,"30 Jun 2020:$0、14 Jul 2004:$4,000、6 Dec 2003:$1,640,000、"
"15 Montague Road Cremorne, NSW, 2090",LOT 1 DP208867,Residential,343,4,2,1,1930,"27 Jun 2020:$2,700,000、"
"87 Young Street Cremorne, NSW, 2090",LOT B DP441158,Residential,209,2,1,1,1914,"27 Jun 2020:$1,925,000、27 Nov 2019:$0、"
"8 Illiliwa Street Cremorne, NSW, 2090",LOT D DP900897,Residential,481,4,2,2,1925,"19 Jun 2020:$3,375,000、17 Mar 2012:$1,525,000、11 Mar 1986:$205,000、"
"53 Sutherland Street Cremorne, NSW, 2090",LOT 1 DP998499,Residential,285,2,1,1,0,"18 Jun 2020:$2,212,000、20 May 2020:$0、5 Apr 1997:$485,000、11 Oct 1984:$113,500、"
"104 Macpherson Street Cremorne, NSW, 2090",LOT 10 DP9859,Low Density Residential,594,3,2,2,1930,"17 Jun 2020:$2,740,000、10 Aug 2017:$2,450,000、12 Sep 2013:$1,600,000、"
"16 Fernhurst Avenue Cremorne, NSW, 2090",LOT 9 DP18381,Low Density Residential,639,4,2,1,1940,"3 Jun 2020:$0、2 Nov 2013:$1,555,000、"
"61 Earle Street Cremorne, NSW, 2090",LOT A DP411219,Residential,266,2,1,1,1920,"6 Jun 2020:$1,675,000、11 Feb 2020:$0、25 Sep 1987:$155,000、"
"2/36 Cranbrook Avenue Cremorne, NSW, 2090",LOT 2 SP35123,Residential,"2,066",3,2,2,1989,"2 Jun 2020:$0、21 Jun 2014:$1,055,000、10 Oct 2007:$400,000、11 Oct 2004:$790,000、16 Mar 2001:$638,000、16 Oct 1996:$443,000、30 Nov 1989:$355,000、"
"40 Ryries Parade Cremorne, NSW, 2090",LOT 120 DP10291,Residential,470,5,4,2,1950,"30 May 2020:$4,860,000、12 Jan 2018:$0、12 Jan 2018:$0、18 Jul 2003:$1,000,000、10 Jul 1996:$900,000、"
"11 Ryries Parade Cremorne, NSW, 2090",LOT 55 DP10291,Residential,511,3,3,2,0,"22 May 2020:$0、23 Mar 2007:$1,850,000、12 Apr 1990:$825,000、"
"49 Reynolds Street Cremorne, NSW, 2090",LOT A DP975831,Residential,443,4,2,1,1920,"29 May 2020:$2,970,000、25 Mar 2010:$1,730,000、7 Jun 1991:$440,000、29 Apr 1991:$440,000、"
"115 Holt Avenue Cremorne, NSW, 2090",LOT 1 DP929395,Residential,557,4,3,0,1907,"30 Apr 2020:$4,066,667、2 Apr 1996:$607,500、26 Jun 1992:$480,000、8 May 1992:$480,000、"
"117 Holt Avenue Cremorne, NSW, 2090",LOT 1 DP980449,Residential,557,4,2,4,0,"30 Apr 2020:$4,066,667、20 Mar 1990:$430,000、"
"119 Holt Avenue Cremorne, NSW, 2090",LOT 1 DP929074,Medium Density Residential,557,5,3,1,1908,"30 Apr 2020:$4,066,667、1 Oct 2014:$2,950,000、21 Jul 1995:$725,000、9 Nov 1993:$720,000、4 Jan 1993:$720,000、22 Oct 1990:$390,000、"
"86 Benelong Road Cremorne, NSW, 2090",LOT 2 DP17570,Residential,465,0,0,1,0,24 Apr 2020:$0、
"16 Lodge Road Cremorne, NSW, 2090",LOT 1 DP1248430,[],"4,401",0,0,0,0,21 Apr 2020:$0、
"5 Earle Street Cremorne, NSW, 2090",LOT 9 DP979110 SEC 1,Residential,584,2,1,2,1920,"18 Apr 2020:$2,625,000、11 Apr 2019:$0、"
"22 Lodge Road Cremorne, NSW, 2090",LOT 2 DP1248430,[],736,0,0,0,0,21 Apr 2020:$0、
"5 Wonga Road Cremorne, NSW, 2090",LOT 37 DP31762,Residential,563,5,4,4,1960,"8 Apr 2020:$1,370,000、1 Aug 2018:$0、25 Aug 2009:$2,350,000、30 Mar 2007:$2,750,000、"
"2 Shellbank Parade Cremorne, NSW, 2090",LOT 3 DP1211154 & LOT 1 DP346383 & LOT A DP358551 & LOT C DP445165,Residential,"1,670",6,6,5,2000,"17 Apr 2020:$19,100,000、"
"37A Earle Street Cremorne, NSW, 2090",LOT 2 DP527432,Residential,259,4,2,1,1930,"1 Apr 2020:$2,900,000、19 Aug 2019:$0、3 Sep 2010:$1,170,000、1 Mar 2003:$756,000、15 Apr 2000:$546,000、21 Nov 1996:$343,000、"
"12 Martens Lane Cremorne, NSW, 2090",LOT 4 DP850089,Residential,183,3,2,1,2005,"28 Mar 2020:$1,930,000、20 Feb 2012:$900,000、2 Jul 2003:$850,000、15 Mar 2001:$668,000、17 Nov 1995:$408,000、"
"96 Macpherson Street Cremorne, NSW, 2090",LOT 1 DP787551,Low Density Residential,375,3,1,2,1930,"14 Mar 2020:$2,645,000、24 Jul 2013:$1,175,000、18 May 1991:$185,000、"
"73 Sutherland Street Cremorne, NSW, 2090",LOT 1 DP782753,Residential,355,3,2,2,0,"6 Mar 2020:$2,700,000、25 Jan 1990:$375,000、"
"48 Ellalong Road Cremorne, NSW, 2090",LOT 43 DP10291,Residential,511,4,1,1,1940,"6 Mar 2020:$2,875,000、14 Nov 2019:$0、"
"8 Levick Street Cremorne, NSW, 2090",LOT 11 DP102964,Low Density Residential,500,4,3,0,1920,"5 Mar 2020:$3,340,000、12 Nov 2015:$2,050,000、10 Sep 1998:$580,000、"
"9 Levick Street Cremorne, NSW, 2090",LOT 3 DP10545,Residential,436,4,3,2,1930,"27 Feb 2020:$4,000,000、10 Oct 2017:$3,670,000、7 Jul 2002:$1,080,000、"
"7 Harrison Street Cremorne, NSW, 2090",LOT 15 DP3104,Residential,804,5,2,4,1930,"27 Feb 2020:$4,525,000、13 Mar 2018:$0、1 Sep 2017:$0、13 Dec 1991:$325,000、"
"41 Montague Road Cremorne, NSW, 2090",LOT 2 DP565678,Residential,348,3,2,1,1930,"12 Feb 2020:$0、25 Oct 2004:$1,090,000、"
"17 Benelong Road Cremorne, NSW, 2090",LOT I DP938165,Low Density Residential,455,5,2,2,1910,"14 Feb 2020:$3,700,000、15 Sep 2016:$3,200,000、29 Oct 2009:$2,190,000、21 Jun 2006:$1,905,000、27 Mar 2002:$1,560,000、2 Nov 1993:$555,000、4 Sep 1987:$217,000、"
"39 Ryries Parade Cremorne, NSW, 2090",LOT 32 DP10291,Residential,506,4,3,2,1930,"12 Feb 2020:$4,200,000、18 Sep 2001:$1,450,000、6 Jun 1997:$820,000、20 Jan 1989:$705,000、"
"137 Holt Avenue Cremorne, NSW, 2090",LOT 9 DP975041 SEC 3,Residential,338,0,0,1,0,30 Jan 2020:$0、
"17 Lloyd Avenue Cremorne, NSW, 2090",LOT 1 DP776224,Residential,258,3,2,1,1980,"11 Dec 2019:$2,800,000、14 May 2010:$1,500,000、8 Sep 1997:$720,000、18 Dec 1995:$625,000、29 Jul 1988:$290,000、"
"89 Young Street Cremorne, NSW, 2090",LOT 1 DP553837,Low Density Residential,240,2,1,1,1910,"20 Dec 2019:$2,160,000、16 Aug 2019:$0、8 Oct 2016:$1,875,000、28 May 2000:$510,000、15 Jan 1986:$128,000、"
"31 Ryries Parade Cremorne, NSW, 2090",LOT 28 DP10291,Residential,398,3,4,2,1950,"11 Dec 2019:$3,750,000、4 Jul 2007:$2,500,000、11 Apr 2002:$1,450,000、26 Jan 1984:$165,000、"
"49 Rangers Road Cremorne, NSW, 2090",LOT 50 DP816948,Residential,432,3,2,0,0,"23 Feb 2020:$0、23 Mar 1993:$410,000、18 Dec 1992:$410,000、"
"20A Bennett Street Cremorne, NSW, 2090",LOT 2 DP734503,Residential,363,4,2,2,1975,"6 Dec 2019:$2,483,000、21 Nov 2019:$0、15 Jun 1993:$561,000、"
"54 Belgrave Street Cremorne, NSW, 2090",LOT 2 DP819279,Residential,329,3,2,1,1920,"29 Nov 2019:$2,350,000、24 Jun 1997:$462,000、25 Aug 1992:$265,000、27 Nov 1991:$310,000、"
"56 Ellalong Road Cremorne, NSW, 2090",LOT 16 DP10291,Residential,447,0,0,1,0,"28 Nov 2019:$0、1 Apr 1985:$180,000、"
"11 Brightmore Street Cremorne, NSW, 2090",LOT 1 DP966812,Residential,418,0,0,1,0,3 Dec 2019:$0、3 Dec 2019:$0、
