2001201,2002279,1997707,2002368,2003080,2001535,1997765,1998477,2002323,2001413,1997597,2003052,2001516,2001414,1997920,1999474,1997903,41254519,2002349,2001607
2003002,1998305,1998417,1999274,1998480,2003231,2002418,2001006,2001015,2003463,2000048,2003000,2000376,1998377,1998529,1998281,2002373,2002276,2002347,1999914
1999915,1999916,1997752,48201895,48201892,1998315,2002408,2003233,1998335,2000388,2000361,1998466,2003027,2000187,1999719,2000188,2001983,1997605,2001041,2002372
2000845,2003465,2000230,2002364,1997782,1997926,1997299,1998474,2000312,1998580,2000350,1997574,1997896,2002385,2003529,1997894,2003007,2003530,2003592,2002742
1997034,1998467,2002992,2000064,2003568,2000383,1997900,2002542,1997695,2001034,1998522,2001556,2001220,48152669,2003167,1998069,1997614,2003261,2003266,2001559
2003371,1998334,1997899,2000311,2002333,2000222,1997950,1999480,2003166,2000087,1999721,2000328,1998312,2000179,1997107,2002362,1997886,2003165,2001024,2002325
2003018,2002331,2001540,2001984,2001045,1998329,1998419,1998436,1998462,1997836,1998593,2001365,2003595,2002341,2001025,48828540,1998416,1997927,1997315,2002317
2003236,2002316,2001035,2001536,1998521,2002355,2000384,2000569,2000571,1998475,1998535,2000190,2001209,2003091,1998050,1998483,1999170,1997928,1998306,2003036
1997479,2002705,2002709,1997922,1998612,1998468,2002328,2002558,2000075,2000047,2003456,1998528,2003265,1997885,44899763,1998390,2001564,2003205,2003208,1999464
1997942,1997303,1998489,2003263,2002416,2002284,1997763,2002353,2003241,1998430,1998432,2001184,2003110,1997600,2003474,1999410,2003206,1997608,1997710,2000241
1998328,2002096,2003400,1998434,2003586,1998518,1998452,2002085,1997310,2002997,2001044,2002315,2002417,2002342,44933139,1997930,2002865,2003239,2000181,41221550
1998286,2001989,1998277,1998321,2001511,1998431,1999478,1997300,2000086,2000359,2002339,2003457,1997831,1997623,2001363,2001038,1998453,1997702,2003428,2000346
2003063,1999173,2003039,1998463,1999460,1997311,1999201,2001750,1999888,2001565,46151134,2000218,1998517,46151143,1998495,2000314,1997297,2001330,2002413,2000316
2003468,2003469,2003283,1999414,2002050,1997769,46151135,2003034,2000370,2000200,2000207,2000071,1998373,2002565,2000054,2002411,2003096,2003403,2000194,2003204
1997589,1998308,1998609,1999195,17485993,1997754,2002410,1997387,2000348,2003452,1998314,1997709,1998313,1997475,1997715,1997714,1997089,2003462,1998410,1997936
2003258,2001398,2003531,1997594,1999463,1997609,2001180,2000223,2000391,2000307,2003594,2002626,2003296,1997476,2002282,2000382,1998589,2000334,2003581,1998479
2002314,1997634,1998458,15784015,15908863,2001018,2000186,1997599,2003006,2003271,2003269,1997939,2003475,1999275,1997979,2003275,2003455,1999216,1998415,2002289
1997651,2003597,2002409,2000325,15784021,1997938,1997887,1998332,1999198,16223390,1997386,2003076,2001517,14185018,2003056,2003624,1997318,2000355,2001179,16129705
1999169,2000076,1997832,1998484,1998288,14520900,1997895,1998486,1997108,1998051,2002121,1997633,2000063,2000360,2002216,1997761,2003073,2001507,1997598,2000379
1997659,2000040,2001601,2002312,1997109,2002561,1998049,2001558,2003273,2000083,2000245,2003264,2003620,2001329,2000198,1998492,2001019,2003402,1998287,2003584
2002619,1999457,1998412,1997624,1998481,1997931,2003521,2003454,2002103,1997977,1998411,1997846,2001530,2002181,2003028,1998633,1997759,1997616,2000089,2000039
16428294,2003408,2002412,2002585,2000227,1997662,2002346,1998427,2003528,1997772,16388548,1998583,2002334,2002313,1999217,1997168,1997660,2000309,2002161,1997663
2001537,1997943,1997570,2003107,2003020,2000232,2003229,1997298,2002344,1997753,1998378,16178210,2003399,1998527,2002273,2001988,1999957,1999215,16178212,1997085
1997671,1997941,1999961,2003090,2002308,1998485,1997301,1998282,2001986,1997880,2003593,2000226,1997596,2001328,2002338,2002291,2003088,2001980,2002217,1998441
2003472,1997976,2003274,1997306,1998414,2000377,1997951,2002994,2002340,2003019,1997833,2003104,2000191,1999363,1997569,1998291,15901232,2001007,2003072,1997712
